Name,Trans Type,Date,Amount,NAV,Units
HDFC Equity,PUR,08-02-16,"3,000.00",388.986,7.712
HDFC Top 200,PURA,03-10-11,"5,000.00",184.462,27.106
HDFC Top 200,PUR,19-12-12,"1,000.00",226.193,4.421
HDFC Equity,PUR,17-01-13,"1,000.00",300.349,3.329
HDFC Equity,PUR,26-03-13,"1,000.00",267.477,3.739
HDFC Top 200,PUR,26-03-13,"1,000.00",207.675,4.815
HDFC Equity,PURA,26-04-13,"1,000.00",280.348,3.567
HDFC Top 200,PURA,26-04-13,"1,000.00",218.689,4.573
HDFC Equity,PUR,28-05-13,"1,000.00",287.821,3.474
HDFC Top 200,PUR,28-05-13,"1,000.00",224.866,4.447
HDFC Equity,PURA,26-06-13,"1,000.00",259.526,3.853
HDFC Top 200,PUR,26-06-13,"1,000.00",202.908,4.928
HDFC Equity,PURA,26-07-13,"1,000.00",261.273,3.827
HDFC Top 200,PUR,26-07-13,"1,000.00",205.725,4.861
HDFC Equity,PURA,27-08-13,"1,000.00",238.434,4.194
HDFC Top 200,PUR,27-08-13,"1,000.00",187.975,5.32
HDFC Equity,PUR,26-09-13,"1,000.00",261.034,3.831
HDFC Top 200,PURA,26-09-13,"1,000.00",207.191,4.826
HDFC Equity,PURA,28-10-13,"1,000.00",275.521,3.629
HDFC Top 200,PURA,28-10-13,"1,000.00",217.296,4.602
HDFC Equity,PUR,26-11-13,"1,000.00",284.955,3.509
HDFC Top 200,PURA,26-11-13,"1,000.00",222.25,4.499
HDFC Equity,PURA,13-12-13,"2,500.00",291.114,8.588
HDFC Top 200,PUR,13-12-13,"2,500.00",226.899,11.018
HDFC Equity,PURA,27-12-13,"1,000.00",304.983,3.279
HDFC Top 200,PUR,27-12-13,"1,000.00",235.716,4.242
HDFC Equity,PUR,27-01-14,"1,000.00",288.404,3.467
HDFC Top 200,PUR,27-01-14,"1,000.00",223.615,4.472
HDFC Top 200,PURA,26-02-14,"1,000.00",228.546,4.375
HDFC Top 200,PURA,26-03-14,"1,000.00",247.626,4.038
HDFC Top 200,PUR,28-04-14,"1,000.00",261.349,3.826
HDFC Top 200,RED,14-05-14,"-11,140.23",279.863,-39.806
HDFC Top 200,PUR,27-05-14,"1,000.00",298.156,3.354
HDFC Equity,PURA,03-06-14,"2,000.00",403.434,4.957
HDFC Top 200,PURA,26-06-14,"1,000.00",307.116,3.256
HDFC Equity,PURA,03-07-14,"2,000.00",430.144,4.65
HDFC Top 200,PURA,25-07-14,"1,000.00",307.33,3.254
HDFC Equity,PUR,04-08-14,"2,000.00",421.796,4.742
HDFC Top 200,PURA,26-08-14,"1,000.00",320.326,3.122
HDFC Equity,PUR,03-09-14,"2,000.00",448.011,4.464
HDFC Top 200,PUR,26-09-14,"1,000.00",322.753,3.098
HDFC Equity,PUR,07-10-14,"2,000.00",437.304,4.573
HDFC Top 200,PUR,27-10-14,"1,000.00",326.882,3.059
HDFC Equity,PURA,05-11-14,"2,000.00",467.832,4.275
HDFC Top 200,PURA,26-11-14,"1,000.00",349.259,2.863
HDFC Equity,PURA,03-12-14,"2,000.00",485.926,4.116
HDFC Top 200,PUR,29-12-14,"1,000.00",342.299,2.921
HDFC Equity,PURA,05-01-15,"2,000.00",474.35,4.216
HDFC Top 200,PUR,28-01-15,"1,000.00",367.147,2.724
HDFC Equity,PUR,03-02-15,"2,000.00",482.896,4.142
HDFC Equity,PUR,03-03-15,"2,000.00",492.946,4.057
HDFC Equity,PURA,06-04-15,"2,000.00",477.62,4.187
HDFC Equity,PUR,13-04-15,"3,000.00",489.732,6.126
HDFC Equity,PURA,06-05-15,"3,000.00",450.831,6.654
HDFC Equity,PUR,08-06-15,"3,000.00",447.778,6.7
HDFC Equity,PURA,07-07-15,"3,000.00",474.907,6.317
HDFC Equity,PURA,07-08-15,"3,000.00",489.721,6.126
HDFC Equity,PURA,07-09-15,"3,000.00",421.476,7.118
HDFC Equity,PURA,06-10-15,"3,000.00",454.086,6.607
HDFC Equity,PURA,06-11-15,"3,000.00",445.621,6.732
HDFC Equity,PUR,07-12-15,"3,000.00",442.562,6.779
HDFC Equity,PURA,06-01-16,"3,000.00",434.984,6.897
HDFC Equity,PUR,08-02-16,"3,000.00",388.986,7.712
